"","Mean","SD","HPDlo","HPDhi"
"beta01",-31.4059492346483,1.48531236445056,-34.2897931726811,-28.4770357598245
"beta11",-0.00516965328861937,0.0048644178786517,-0.0147164448386273,0.00437524813996472
"beta21",3.74670484733274,0.167250731905733,3.42085373079875,4.07408746896591
"beta31",-0.012130833941278,0.0126884884461618,-0.0368269141895325,0.0125698217501582
"beta41",-0.283928068427547,0.0154206982245504,-0.313500135309595,-0.253070818941905
"beta02",-67.8211940494128,5.59411548040515,-79.1164106799289,-57.2496051155191
"beta12",-0.00500281612390631,0.00885696583668925,-0.0229818147274824,0.011899322835435
"beta22",7.08174195271195,0.567812586728817,6.00727526811463,8.22202234720217
"beta32",-0.00653678590295582,0.0224453922335711,-0.0525857435790017,0.0362843649328461
"beta42",-0.169351903368969,0.013798723761955,-0.196253016784171,-0.142351646120152
"sigma2_1",42.2674423490846,24.2098256540685,-8.74012985743063,89.0076757663185
"sigma2_2",1.13033261878982,1.91700604717842,-2.65725371757756,4.91720257695816
"tau01",-2.47432866379115,0.864610906364369,-4.16510075807682,-1.04561772796427
"tau11",0.638746238879803,0.0570291830430065,0.531339936076432,0.751240557472302
"tau21",0.761985494637549,0.110924648139164,0.558492051063696,0.980816072038475
