"","Mean","SD","HPDlo","HPDhi"
"beta01",-18.3076373232743,1.7752545111179,-21.8348382506316,-14.8938294340247
"beta11",0.00593340294211837,0.00491303735729047,-0.00340965806398707,0.0158911004798652
"beta21",2.20832610665998,0.200222689437634,1.83343721874176,2.61888981924932
"beta31",-0.00932131529522415,0.0126036321809582,-0.0338989653293502,0.0155086031913199
"beta41",-0.155060956310496,0.0177195055223913,-0.190201796741126,-0.120300509353804
"beta02",-63.0747450772541,6.23295404246763,-75.4465051641895,-51.7462090155048
"beta12",-0.0157055322939496,0.00926463950948739,-0.0335579400545379,0.00251581008138899
"beta22",6.71008115731252,0.638799917312675,5.52591649043104,7.97011850128828
"beta32",-0.0200760668408005,0.0231887661473485,-0.0642403689157103,0.0257909128075119
"beta42",-0.176089874295029,0.0166107026651423,-0.208341671851576,-0.142982961906944
"sigma2_1",-76.21504368695,9.15794661020732,-94.4786428041333,-58.6729991103114
"sigma2_2",9.25384437717326,1.07277088296258,7.18204504954423,11.3704567356825
"tau01",-0.89108426149505,0.0970810178252095,-1.08167019110106,-0.7083182005078
"tau11",0.34664357683995,0.0398812568052459,0.272706943681294,0.427448879017056
"tau21",0.966990713032128,0.144927009683674,0.691569129137005,1.2676837688181
