"","Mean","SD","HPDlo","HPDhi"
"beta01",-29.8526580534768,2.10206293946993,-33.7908753914459,-25.7198946375155
"beta11",-0.00440154479047627,0.00508912708510342,-0.0140946165728688,0.00577910846136425
"beta21",3.56026652354184,0.248360717668727,3.06766283528358,4.01652841842337
"beta31",-0.0110762975692901,0.0130771130651219,-0.0361918899818598,0.0152398329751619
"beta41",-0.265603498459041,0.0274625470269822,-0.315714113170109,-0.214311140155728
"beta02",-66.5953859243452,5.61550771912112,-77.6446227261398,-55.6945812266573
"beta12",-0.00600855079077798,0.00872597695684627,-0.0232770315773718,0.0109285911486136
"beta22",6.98269671329035,0.571474273127144,5.88510468429322,8.11077321389124
"beta32",-0.00876084821985666,0.0215644297722465,-0.0506770615145245,0.0338112003256725
"beta42",-0.17171256371067,0.0143968200681527,-0.20016454169626,-0.1441131594469
"sigma2_1",0.565350930323299,49.6226527813742,-65.899250054618,81.585557122557
"sigma2_2",3.67450222655251,3.30550280611007,-1.90583125125473,8.96644277635393
"tau01",-1.82175036659859,1.0104377418172,-3.87682098627987,-0.713752731503919
"tau11",0.615097736932331,0.0611591553236195,0.5020071993116,0.739139570974482
"tau21",0.743438885357325,0.103649801557147,0.551653374771804,0.944744735220977
"nu1",0.0681213894179322,0.0499024042603274,0.0100509731879334,0.150166693218472
"nu2",0.3338700211773,0.116279435124661,0.11701450141001,0.499949741622872
"gamma1",0.249303435508951,0.136485818510712,0.0422097481992993,0.507256092049302
"gamma2",0.853908980363023,0.126357505645257,0.610604146499918,0.999981008149244
