"","Mean","SD","HPDlo","HPDhi"
"beta01",-17.4253524253878,1.88351648022232,-21.1690436038587,-13.7263326124809
"beta11",0.00527342623010204,0.00505315057525007,-0.00498592697046198,0.0147776279427027
"beta21",2.11567051321271,0.212844351233867,1.6922616548741,2.53486846914576
"beta31",-0.0114998456965866,0.0128009036592597,-0.0362135999985673,0.0140458128721442
"beta41",-0.148741446728604,0.0183246412917601,-0.185021741557568,-0.112882243402534
"beta02",-60.5351886456141,5.87488708215211,-71.960887681336,-49.200690129663
"beta12",-0.0157946863801777,0.00909841007549974,-0.0344872961885847,0.00151418486756787
"beta22",6.45546101839993,0.604944476940136,5.28037081669437,7.62262750486047
"beta32",-0.0212375774513631,0.0224971747640679,-0.0640868921637049,0.0241259993634184
"beta42",-0.171914824673743,0.0161433069086518,-0.203593108738874,-0.14060103196
"sigma2_1",-79.3959386556871,9.2474657889258,-97.9205568034386,-61.3699479038856
"sigma2_2",9.5976123933098,1.08241514637035,7.46699902294607,11.73356310062
"tau01",-0.907325962574992,0.0973200243281131,-1.11084044195924,-0.728078262884501
"tau11",0.346870995578947,0.0537680982939846,0.255154849306182,0.469403319300742
"tau21",0.971283072689961,0.169091696191099,0.621029463816474,1.2859849798197
"nu1",0.247396848364271,0.116346377113833,0.0508676705764462,0.463346452883088
"nu2",0.28771656817674,0.115980513058878,0.078453752428452,0.501816872146646
